"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","4897","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","4996","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","5137","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","5273","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","5582","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414726","3.21","5805","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","2693","","","","0"
"2007/2008","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","2423","","","","0"
"2008/2009","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","2473","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","3876","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","3327","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","3427","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5081","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5286","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5286","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5445","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5609","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5424","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5279","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5384","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5485","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427348","3.1","5535","","","","0"
