Date;Location;Field_Of_Study;Value
2023/2024;Newfoundland and Labrador;Other health, parks, recreation and fitness;6000
2006/2007;Prince Edward Island;Total, field of study;6068
2007/2008;Prince Edward Island;Total, field of study;6053
2008/2009;Prince Edward Island;Total, field of study;6148
2009/2010;Prince Edward Island;Total, field of study;7913
2010/2011;Prince Edward Island;Total, field of study;8026
2011/2012;Prince Edward Island;Total, field of study;9370
2012/2013;Prince Edward Island;Total, field of study;10453
2013/2014;Prince Edward Island;Total, field of study;10780
2014/2015;Prince Edward Island;Total, field of study;11041
2015/2016;Prince Edward Island;Total, field of study;10586
2016/2017;Prince Edward Island;Total, field of study;11218
2017/2018;Prince Edward Island;Total, field of study;11779
2018/2019;Prince Edward Island;Total, field of study;12048
2019/2020;Prince Edward Island;Total, field of study;10078
2020/2021;Prince Edward Island;Total, field of study;10462
2021/2022;Prince Edward Island;Total, field of study;10676
2022/2023;Prince Edward Island;Total, field of study;11060
2023/2024;Prince Edward Island;Total, field of study;11502
2012/2013;Prince Edward Island;Education;9564
2013/2014;Prince Edward Island;Education;11526
2015/2016;Prince Edward Island;Education;12067
2016/2017;Prince Edward Island;Education;12431
2017/2018;Prince Edward Island;Education;12456
2018/2019;Prince Edward Island;Education;12455
2019/2020;Prince Edward Island;Education;9501
2020/2021;Prince Edward Island;Education;9687
2021/2022;Prince Edward Island;Education;9776
2022/2023;Prince Edward Island;Education;9968
2023/2024;Prince Edward Island;Education;10367
2006/2007;Prince Edward Island;Humanities;6068
2007/2008;Prince Edward Island;Humanities;6053
2008/2009;Prince Edward Island;Humanities;6148
2016/2017;Prince Edward Island;Social and behavioural sciences, and legal studies;10755
2017/2018;Prince Edward Island;Social and behavioural sciences, and legal studies;11085
2020/2021;Prince Edward Island;Social and behavioural sciences, and legal studies;12795
2021/2022;Prince Edward Island;Social and behavioural sciences, and legal studies;12923
2022/2023;Prince Edward Island;Social and behavioural sciences, and legal studies;13185
2023/2024;Prince Edward Island;Social and behavioural sciences, and legal studies;13713
2012/2013;Prince Edward Island;Executive MBA;20442
2013/2014;Prince Edward Island;Executive MBA;21620
2014/2015;Prince Edward Island;Executive MBA;22748
2015/2016;Prince Edward Island;Executive MBA;23122
2016/2017;Prince Edward Island;Executive MBA;23322
2017/2018;Prince Edward Island;Executive MBA;24027
2018/2019;Prince Edward Island;Executive MBA;24511
2019/2020;Prince Edward Island;Executive MBA;23506
2020/2021;Prince Edward Island;Executive MBA;23982
2021/2022;Prince Edward Island;Executive MBA;24220
2022/2023;Prince Edward Island;Executive MBA;24710
2023/2024;Prince Edward Island;Executive MBA;25697
2018/2019;Prince Edward Island;Regular MBA;30000
2019/2020;Prince Edward Island;Regular MBA;30254
2020/2021;Prince Edward Island;Regular MBA;30870
2021/2022;Prince Edward Island;Regular MBA;31178
2022/2023;Prince Edward Island;Regular MBA;31808
2023/2024;Prince Edward Island;Regular MBA;33082
2008/2009;Prince Edward Island;Physical and life sciences and technologies;6148
2009/2010;Prince Edward Island;Physical and life sciences and technologies;8361
2010/2011;Prince Edward Island;Physical and life sciences and technologies;8502
2011/2012;Prince Edward Island;Physical and life sciences and technologies;9101
2012/2013;Prince Edward Island;Physical and life sciences and technologies;9564
2013/2014;Prince Edward Island;Physical and life sciences and technologies;9948
2014/2015;Prince Edward Island;Physical and life sciences and technologies;10136
2015/2016;Prince Edward Island;Physical and life sciences and technologies;10441
2016/2017;Prince Edward Island;Physical and life sciences and technologies;10755
2017/2018;Prince Edward Island;Physical and life sciences and technologies;11085
2018/2019;Prince Edward Island;Physical and life sciences and technologies;11310
2019/2020;Prince Edward Island;Physical and life sciences and technologies;11535
2020/2021;Prince Edward Island;Physical and life sciences and technologies;11770
2021/2022;Prince Edward Island;Physical and life sciences and technologies;11892
2022/2023;Prince Edward Island;Physical and life sciences and technologies;12135
2023/2024;Prince Edward Island;Physical and life sciences and technologies;12620
2020/2021;Prince Edward Island;Engineering;11770
2021/2022;Prince Edward Island;Engineering;11892
2022/2023;Prince Edward Island;Engineering;12135
2023/2024;Prince Edward Island;Engineering;12620
2017/2018;Prince Edward Island;Agriculture, natural resources and conservation;11085
2018/2019;Prince Edward Island;Agriculture, natural resources and conservation;11310
2019/2020;Prince Edward Island;Agriculture, natural resources and conservation;11535
2020/2021;Prince Edward Island;Agriculture, natural resources and conservation;11770
2021/2022;Prince Edward Island;Agriculture, natural resources and conservation;11892
2022/2023;Prince Edward Island;Agriculture, natural resources and conservation;12135
2023/2024;Prince Edward Island;Agriculture, natural resources and conservation;12620
2011/2012;Prince Edward Island;Veterinary medicine;9101
2012/2013;Prince Edward Island;Veterinary medicine;9564
2013/2014;Prince Edward Island;Veterinary medicine;9948
2014/2015;Prince Edward Island;Veterinary medicine;10136
2015/2016;Prince Edward Island;Veterinary medicine;10441
2016/2017;Prince Edward Island;Veterinary medicine;10755
2017/2018;Prince Edward Island;Veterinary medicine;11085
2018/2019;Prince Edward Island;Veterinary medicine;11310
2019/2020;Prince Edward Island;Veterinary medicine;11535
2020/2021;Prince Edward Island;Veterinary medicine;11770
2021/2022;Prince Edward Island;Veterinary medicine;11892
2022/2023;Prince Edward Island;Veterinary medicine;12135
2023/2024;Prince Edward Island;Veterinary medicine;12620
2006/2007;Prince Edward Island;Other health, parks, recreation and fitness;6068
2008/2009;Prince Edward Island;Other health, parks, recreation and fitness;6148
2009/2010;Prince Edward Island;Other health, parks, recreation and fitness;6120
2010/2011;Prince Edward Island;Other health, parks, recreation and fitness;6120
2011/2012;Prince Edward Island;Other health, parks, recreation and fitness;11794
2012/2013;Prince Edward Island;Other health, parks, recreation and fitness;12120
2013/2014;Prince Edward Island;Other health, parks, recreation and fitness;12360
2014/2015;Prince Edward Island;Other health, parks, recreation and fitness;12548
2015/2016;Prince Edward Island;Other health, parks, recreation and fitness;12742
2006/2007;Nova Scotia;Total, field of study;14515
2007/2008;Nova Scotia;Total, field of study;14868
2008/2009;Nova Scotia;Total, field of study;14493
2009/2010;Nova Scotia;Total, field of study;14580
2010/2011;Nova Scotia;Total, field of study;14325
2011/2012;Nova Scotia;Total, field of study;15071
2012/2013;Nova Scotia;Total, field of study;15739
2013/2014;Nova Scotia;Total, field of study;15928
2014/2015;Nova Scotia;Total, field of study;16482
2015/2016;Nova Scotia;Total, field of study;16601
2016/2017;Nova Scotia;Total, field of study;17662
2017/2018;Nova Scotia;Total, field of study;18348
2018/2019;Nova Scotia;Total, field of study;19281
2019/2020;Nova Scotia;Total, field of study;20604
2020/2021;Nova Scotia;Total, field of study;21995
2021/2022;Nova Scotia;Total, field of study;22197
2022/2023;Nova Scotia;Total, field of study;21787
2023/2024;Nova Scotia;Total, field of study;22768
2006/2007;Nova Scotia;Education;13495
2007/2008;Nova Scotia;Education;12399
2008/2009;Nova Scotia;Education;12900
2009/2010;Nova Scotia;Education;12902
2010/2011;Nova Scotia;Education;12910
2011/2012;Nova Scotia;Education;13290
2012/2013;Nova Scotia;Education;14965
2013/2014;Nova Scotia;Education;10122
2014/2015;Nova Scotia;Education;10878
2015/2016;Nova Scotia;Education;13106
2016/2017;Nova Scotia;Education;12322
2017/2018;Nova Scotia;Education;12706
2018/2019;Nova Scotia;Education;12509
2019/2020;Nova Scotia;Education;13009
2020/2021;Nova Scotia;Education;13028
2021/2022;Nova Scotia;Education;13558
2022/2023;Nova Scotia;Education;15194
2023/2024;Nova Scotia;Education;15823
2006/2007;Nova Scotia;Visual and performing arts, and communications technologies;12124
2007/2008;Nova Scotia;Visual and performing arts, and communications technologies;12124
2008/2009;Nova Scotia;Visual and performing arts, and communications technologies;12124
2009/2010;Nova Scotia;Visual and performing arts, and communications technologies;12124
2010/2011;Nova Scotia;Visual and performing arts, and communications technologies;12124
2011/2012;Nova Scotia;Visual and performing arts, and communications technologies;12488
2012/2013;Nova Scotia;Visual and performing arts, and communications technologies;12864
2013/2014;Nova Scotia;Visual and performing arts, and communications technologies;13248
2014/2015;Nova Scotia;Visual and performing arts, and communications technologies;13656
2015/2016;Nova Scotia;Visual and performing arts, and communications technologies;14064
2016/2017;Nova Scotia;Visual and performing arts, and communications technologies;18240
2017/2018;Nova Scotia;Visual and performing arts, and communications technologies;18780
2018/2019;Nova Scotia;Visual and performing arts, and communications technologies;19350
2019/2020;Nova Scotia;Visual and performing arts, and communications technologies;19788
2020/2021;Nova Scotia;Visual and performing arts, and communications technologies;19949
2021/2022;Nova Scotia;Visual and performing arts, and communications technologies;20453
2022/2023;Nova Scotia;Visual and performing arts, and communications technologies;21020
2023/2024;Nova Scotia;Visual and performing arts, and communications technologies;21673
2006/2007;Nova Scotia;Humanities;13483
2007/2008;Nova Scotia;Humanities;13800
2008/2009;Nova Scotia;Humanities;13235
2009/2010;Nova Scotia;Humanities;13373
2010/2011;Nova Scotia;Humanities;13373
2011/2012;Nova Scotia;Humanities;14005
2012/2013;Nova Scotia;Humanities;14183
2013/2014;Nova Scotia;Humanities;14857
2014/2015;Nova Scotia;Humanities;15173
2015/2016;Nova Scotia;Humanities;15702
2016/2017;Nova Scotia;Humanities;16059
2017/2018;Nova Scotia;Humanities;16285
2018/2019;Nova Scotia;Humanities;16744
2019/2020;Nova Scotia;Humanities;17909
2020/2021;Nova Scotia;Humanities;18850
2021/2022;Nova Scotia;Humanities;19722
2022/2023;Nova Scotia;Humanities;19938
2023/2024;Nova Scotia;Humanities;21244
2006/2007;Nova Scotia;Social and behavioural sciences, and legal studies;12397
2007/2008;Nova Scotia;Social and behavioural sciences, and legal studies;13654
2008/2009;Nova Scotia;Social and behavioural sciences, and legal studies;11692
2009/2010;Nova Scotia;Social and behavioural sciences, and legal studies;12255
2010/2011;Nova Scotia;Social and behavioural sciences, and legal studies;12255
2011/2012;Nova Scotia;Social and behavioural sciences, and legal studies;12644
2012/2013;Nova Scotia;Social and behavioural sciences, and legal studies;12216
2013/2014;Nova Scotia;Social and behavioural sciences, and legal studies;12358
2014/2015;Nova Scotia;Social and behavioural sciences, and legal studies;13091
2015/2016;Nova Scotia;Social and behavioural sciences, and legal studies;12240
2016/2017;Nova Scotia;Social and behavioural sciences, and legal studies;14627
2017/2018;Nova Scotia;Social and behavioural sciences, and legal studies;15074
2018/2019;Nova Scotia;Social and behavioural sciences, and legal studies;16081
2019/2020;Nova Scotia;Social and behavioural sciences, and legal studies;16971
2020/2021;Nova Scotia;Social and behavioural sciences, and legal studies;17426
2021/2022;Nova Scotia;Social and behavioural sciences, and legal studies;17203
2022/2023;Nova Scotia;Social and behavioural sciences, and legal studies;16747
2023/2024;Nova Scotia;Social and behavioural sciences, and legal studies;17507
2006/2007;Nova Scotia;Law;17783
2007/2008;Nova Scotia;Law;18593
2008/2009;Nova Scotia;Law;16204
2009/2010;Nova Scotia;Law;16208
2010/2011;Nova Scotia;Law;16204
2011/2012;Nova Scotia;Law;16943
2012/2013;Nova Scotia;Law;17450
2013/2014;Nova Scotia;Law;17976
2014/2015;Nova Scotia;Law;18516
2015/2016;Nova Scotia;Law;19074
2016/2017;Nova Scotia;Law;19646
2017/2018;Nova Scotia;Law;17085
2018/2019;Nova Scotia;Law;17598
2019/2020;Nova Scotia;Law;18863
2020/2021;Nova Scotia;Law;20163
2021/2022;Nova Scotia;Law;21501
2022/2023;Nova Scotia;Law;21225
2023/2024;Nova Scotia;Law;22452
2006/2007;Nova Scotia;Business, management and public administration;17218
2007/2008;Nova Scotia;Business, management and public administration;17869
2008/2009;Nova Scotia;Business, management and public administration;18025
2009/2010;Nova Scotia;Business, management and public administration;18333
2010/2011;Nova Scotia;Business, management and public administration;19541
2011/2012;Nova Scotia;Business, management and public administration;19874
2012/2013;Nova Scotia;Business, management and public administration;20437
2013/2014;Nova Scotia;Business, management and public administration;20018
2014/2015;Nova Scotia;Business, management and public administration;20652
2015/2016;Nova Scotia;Business, management and public administration;20941
2016/2017;Nova Scotia;Business, management and public administration;24535
2017/2018;Nova Scotia;Business, management and public administration;26248
2018/2019;Nova Scotia;Business, management and public administration;27342
2019/2020;Nova Scotia;Business, management and public administration;27602
2020/2021;Nova Scotia;Business, management and public administration;28994
2021/2022;Nova Scotia;Business, management and public administration;27799
2022/2023;Nova Scotia;Business, management and public administration;29618
2023/2024;Nova Scotia;Business, management and public administration;29873
2007/2008;Nova Scotia;Executive MBA;20000
2008/2009;Nova Scotia;Executive MBA;20000
2009/2010;Nova Scotia;Executive MBA;21250
2010/2011;Nova Scotia;Executive MBA;22500
2011/2012;Nova Scotia;Executive MBA;22500
2012/2013;Nova Scotia;Executive MBA;22500
2013/2014;Nova Scotia;Executive MBA;22500
2014/2015;Nova Scotia;Executive MBA;22500
2015/2016;Nova Scotia;Executive MBA;22500
2016/2017;Nova Scotia;Executive MBA;29000
2017/2018;Nova Scotia;Executive MBA;29000
2018/2019;Nova Scotia;Executive MBA;29000
2022/2023;Nova Scotia;Executive MBA;29000
2023/2024;Nova Scotia;Executive MBA;29250
2007/2008;Nova Scotia;Regular MBA;14730
2008/2009;Nova Scotia;Regular MBA;11330
2009/2010;Nova Scotia;Regular MBA;14440
2010/2011;Nova Scotia;Regular MBA;14440
2011/2012;Nova Scotia;Regular MBA;17052
2012/2013;Nova Scotia;Regular MBA;18299
2013/2014;Nova Scotia;Regular MBA;18390
2014/2015;Nova Scotia;Regular MBA;19339
2015/2016;Nova Scotia;Regular MBA;19803
2016/2017;Nova Scotia;Regular MBA;20936
2017/2018;Nova Scotia;Regular MBA;22372
2018/2019;Nova Scotia;Regular MBA;23041
2019/2020;Nova Scotia;Regular MBA;23279
2020/2021;Nova Scotia;Regular MBA;24251
2021/2022;Nova Scotia;Regular MBA;25344
2022/2023;Nova Scotia;Regular MBA;30930
2023/2024;Nova Scotia;Regular MBA;32362
2006/2007;Nova Scotia;Physical and life sciences and technologies;13529
2007/2008;Nova Scotia;Physical and life sciences and technologies;13776
2008/2009;Nova Scotia;Physical and life sciences and technologies;12916
2009/2010;Nova Scotia;Physical and life sciences and technologies;12812
2010/2011;Nova Scotia;Physical and life sciences and technologies;12812
2011/2012;Nova Scotia;Physical and life sciences and technologies;13388
2012/2013;Nova Scotia;Physical and life sciences and technologies;14413
2013/2014;Nova Scotia;Physical and life sciences and technologies;14853
2014/2015;Nova Scotia;Physical and life sciences and technologies;15380
2015/2016;Nova Scotia;Physical and life sciences and technologies;15494
2016/2017;Nova Scotia;Physical and life sciences and technologies;16501
2017/2018;Nova Scotia;Physical and life sciences and technologies;16727
2018/2019;Nova Scotia;Physical and life sciences and technologies;17714
2019/2020;Nova Scotia;Physical and life sciences and technologies;19036
2020/2021;Nova Scotia;Physical and life sciences and technologies;19838
2021/2022;Nova Scotia;Physical and life sciences and technologies;20745
2022/2023;Nova Scotia;Physical and life sciences and technologies;19999
