Date;Location;Field_Of_Study;Value
2020/2021;Canada;Other health, parks, recreation and fitness;19620
2021/2022;Canada;Other health, parks, recreation and fitness;20785
2022/2023;Canada;Other health, parks, recreation and fitness;21933
2023/2024;Canada;Other health, parks, recreation and fitness;23132
2016/2017;Canada;Personal, protective and transportation services;12275
2017/2018;Canada;Personal, protective and transportation services;13796
2020/2021;Canada;Personal, protective and transportation services;12550
2021/2022;Canada;Personal, protective and transportation services;11609
2022/2023;Canada;Personal, protective and transportation services;13956
2023/2024;Canada;Personal, protective and transportation services;14201
